account_id,plan,day,tokens
acc_000,enterprise,0,88276
acc_000,enterprise,1,78571
acc_000,enterprise,2,82931
acc_000,enterprise,3,75947
acc_000,enterprise,4,79683
acc_000,enterprise,5,85098
acc_000,enterprise,6,95967
acc_000,enterprise,7,96606
acc_000,enterprise,8,63302
acc_000,enterprise,9,339946
acc_000,enterprise,10,81622
acc_000,enterprise,11,82351
acc_000,enterprise,12,83519
acc_000,enterprise,13,86700
acc_000,enterprise,14,81267
acc_000,enterprise,15,83474
acc_000,enterprise,16,82549
acc_000,enterprise,17,83446
acc_000,enterprise,18,91667
acc_000,enterprise,19,96959
acc_000,enterprise,20,73734
acc_000,enterprise,21,80299
acc_000,enterprise,22,86428
acc_000,enterprise,23,72057
acc_000,enterprise,24,65486
acc_000,enterprise,25,74984
acc_000,enterprise,26,89968
acc_000,enterprise,27,319517
acc_000,enterprise,28,87685
acc_000,enterprise,29,89242
acc_000,enterprise,30,84531
acc_000,enterprise,31,87232
acc_000,enterprise,32,68020
acc_000,enterprise,33,72280
acc_000,enterprise,34,89051
acc_000,enterprise,35,76132
acc_000,enterprise,36,85495
acc_000,enterprise,37,88722
acc_000,enterprise,38,76219
acc_000,enterprise,39,82786
acc_000,enterprise,40,91677
acc_000,enterprise,41,98178
acc_000,enterprise,42,86460
acc_000,enterprise,43,83044
acc_000,enterprise,44,77196
acc_000,enterprise,45,76658
acc_000,enterprise,46,82463
acc_000,enterprise,47,75639
acc_000,enterprise,48,105772
acc_000,enterprise,49,75141
acc_000,enterprise,50,91030
acc_000,enterprise,51,102873
acc_000,enterprise,52,97311
acc_000,enterprise,53,90620
acc_000,enterprise,54,78614
acc_000,enterprise,55,81076
acc_000,enterprise,56,91783
acc_000,enterprise,57,81968
acc_000,enterprise,58,89786
acc_000,enterprise,59,81582
acc_000,enterprise,60,76437
acc_000,enterprise,61,79482
acc_000,enterprise,62,74545
acc_000,enterprise,63,91383
acc_000,enterprise,64,86246
acc_000,enterprise,65,71512
acc_000,enterprise,66,76640
acc_000,enterprise,67,76837
acc_000,enterprise,68,80025
acc_000,enterprise,69,83019
acc_000,enterprise,70,86553
acc_000,enterprise,71,100255
acc_000,enterprise,72,77338
acc_000,enterprise,73,85136
acc_000,enterprise,74,333744
acc_000,enterprise,75,95456
acc_000,enterprise,76,88014
acc_000,enterprise,77,88274
acc_000,enterprise,78,90335
acc_000,enterprise,79,87336
acc_000,enterprise,80,91154
acc_000,enterprise,81,88793
acc_000,enterprise,82,82522
acc_000,enterprise,83,88889
acc_000,enterprise,84,93512
acc_000,enterprise,85,91035
acc_000,enterprise,86,75119
acc_000,enterprise,87,341100
acc_000,enterprise,88,320573
acc_000,enterprise,89,335890
acc_001,free,0,3939
acc_001,free,1,5150
acc_001,free,2,4886
acc_001,free,3,5162
acc_001,free,4,4706
acc_001,free,5,4992
acc_001,free,6,4682
acc_001,free,7,4042
acc_001,free,8,4940
acc_001,free,9,4162
acc_001,free,10,4956
acc_001,free,11,5185
acc_001,free,12,4202
acc_001,free,13,4669
acc_001,free,14,5006
acc_001,free,15,4491
acc_001,free,16,5860
acc_001,free,17,4645
acc_001,free,18,4159
acc_001,free,19,5051
acc_001,free,20,18350
acc_001,free,21,18747
acc_001,free,22,4393
acc_001,free,23,4959
acc_001,free,24,4176
acc_001,free,25,4366
acc_001,free,26,4892
acc_001,free,27,5413
acc_001,free,28,5088
acc_001,free,29,4625
acc_001,free,30,4160
acc_001,free,31,5238
acc_001,free,32,4742
acc_001,free,33,4720
acc_001,free,34,5263
acc_001,free,35,4605
acc_001,free,36,4709
acc_001,free,37,4683
acc_001,free,38,4678
acc_001,free,39,4208
acc_001,free,40,3779
acc_001,free,41,4766
acc_001,free,42,4191
acc_001,free,43,4448
acc_001,free,44,4855
acc_001,free,45,4017
acc_001,free,46,5701
acc_001,free,47,5450
acc_001,free,48,4609
acc_001,free,49,4805
acc_001,free,50,4397
acc_001,free,51,3834
acc_001,free,52,4247
acc_001,free,53,5366
acc_001,free,54,4748
acc_001,free,55,3860
acc_001,free,56,4775
acc_001,free,57,5362
acc_001,free,58,4265
acc_001,free,59,4013
acc_001,free,60,4492
acc_001,free,61,5463
acc_001,free,62,4006
acc_001,free,63,4553
acc_001,free,64,5312
acc_001,free,65,5211
acc_001,free,66,4629
acc_001,free,67,5682
acc_001,free,68,4509
acc_001,free,69,4630
acc_001,free,70,3729
acc_001,free,71,5191
acc_001,free,72,4918
acc_001,free,73,18439
acc_001,free,74,4378
acc_001,free,75,4697
acc_001,free,76,4315
acc_001,free,77,4438
acc_001,free,78,4768
acc_001,free,79,4869
acc_001,free,80,4856
acc_001,free,81,18080
acc_001,free,82,3779
acc_001,free,83,4040
acc_001,free,84,5316
acc_001,free,85,4399
acc_001,free,86,4607
acc_001,free,87,5030
acc_001,free,88,4492
acc_001,free,89,4995
acc_002,free,0,2713
acc_002,free,1,2520
acc_002,free,2,2552
acc_002,free,3,2005
acc_002,free,4,2118
acc_002,free,5,2275
acc_002,free,6,2207
acc_002,free,7,2460
acc_002,free,8,2417
acc_002,free,9,2586
acc_002,free,10,2179
acc_002,free,11,2324
acc_002,free,12,2540
acc_002,free,13,9000
acc_002,free,14,2126
acc_002,free,15,2587
acc_002,free,16,1813
acc_002,free,17,2635
acc_002,free,18,2208
acc_002,free,19,2276
acc_002,free,20,2567
acc_002,free,21,9285
acc_002,free,22,1948
acc_002,free,23,2085
acc_002,free,24,9125
acc_002,free,25,2501
acc_002,free,26,2385
acc_002,free,27,2290
acc_002,free,28,2179
acc_002,free,29,2701
acc_002,free,30,2252
acc_002,free,31,2500
acc_002,free,32,2241
acc_002,free,33,1969
acc_002,free,34,1842
acc_002,free,35,2360
acc_002,free,36,2446
acc_002,free,37,2614
acc_002,free,38,2260
acc_002,free,39,9045
acc_002,free,40,2345
acc_002,free,41,8859
acc_002,free,42,2340
acc_002,free,43,2341
acc_002,free,44,2253
acc_002,free,45,2265
acc_002,free,46,2623
acc_002,free,47,2348
acc_002,free,48,2206
acc_002,free,49,8745
acc_002,free,50,1966
acc_002,free,51,2399
acc_002,free,52,2089
acc_002,free,53,2208
acc_002,free,54,2303
acc_002,free,55,2631
acc_002,free,56,2511
acc_002,free,57,2315
acc_002,free,58,2616
acc_002,free,59,2477
acc_002,free,60,1883
acc_002,free,61,2606
acc_002,free,62,2323
acc_002,free,63,1783
acc_002,free,64,2501
acc_002,free,65,2353
acc_002,free,66,2274
acc_002,free,67,2459
acc_002,free,68,2276
acc_002,free,69,2369
acc_002,free,70,2249
acc_002,free,71,2260
acc_002,free,72,2026
acc_002,free,73,2388
acc_002,free,74,2745
acc_002,free,75,2205
acc_002,free,76,2092
acc_002,free,77,2150
acc_002,free,78,1951
acc_002,free,79,2234
acc_002,free,80,2254
acc_002,free,81,2287
acc_002,free,82,2471
acc_002,free,83,2136
acc_002,free,84,2153
acc_002,free,85,1998
acc_002,free,86,2135
acc_002,free,87,1778
acc_002,free,88,2471
acc_002,free,89,2052
acc_003,enterprise,0,21634
acc_003,enterprise,1,24461
acc_003,enterprise,2,20708
acc_003,enterprise,3,23731
acc_003,enterprise,4,22607
acc_003,enterprise,5,20474
acc_003,enterprise,6,17554
acc_003,enterprise,7,21560
acc_003,enterprise,8,25944
acc_003,enterprise,9,23685
acc_003,enterprise,10,17933
acc_003,enterprise,11,24833
acc_003,enterprise,12,19262
acc_003,enterprise,13,23774
acc_003,enterprise,14,21053
acc_003,enterprise,15,19613
acc_003,enterprise,16,22828
acc_003,enterprise,17,24475
acc_003,enterprise,18,22418
acc_003,enterprise,19,23451
acc_003,enterprise,20,23079
acc_003,enterprise,21,26439
acc_003,enterprise,22,20397
acc_003,enterprise,23,23871
acc_003,enterprise,24,24653
acc_003,enterprise,25,24152
acc_003,enterprise,26,21994
acc_003,enterprise,27,23508
acc_003,enterprise,28,27076
acc_003,enterprise,29,18074
acc_003,enterprise,30,21131
acc_003,enterprise,31,23023
acc_003,enterprise,32,22277
acc_003,enterprise,33,20141
acc_003,enterprise,34,21182
acc_003,enterprise,35,93128
acc_003,enterprise,36,21297
acc_003,enterprise,37,19651
acc_003,enterprise,38,23631
acc_003,enterprise,39,24000
acc_003,enterprise,40,21150
acc_003,enterprise,41,20910
acc_003,enterprise,42,24278
acc_003,enterprise,43,18607
acc_003,enterprise,44,23678
acc_003,enterprise,45,23101
acc_003,enterprise,46,26921
acc_003,enterprise,47,18894
acc_003,enterprise,48,20761
acc_003,enterprise,49,22561
acc_003,enterprise,50,18248
acc_003,enterprise,51,20722
acc_003,enterprise,52,26265
acc_003,enterprise,53,89679
acc_003,enterprise,54,24296
acc_003,enterprise,55,24704
acc_003,enterprise,56,23916
acc_003,enterprise,57,20398
acc_003,enterprise,58,22633
acc_003,enterprise,59,20312
acc_003,enterprise,60,22562
acc_003,enterprise,61,28060
acc_003,enterprise,62,25611
acc_003,enterprise,63,21375
acc_003,enterprise,64,26266
acc_003,enterprise,65,23598
acc_003,enterprise,66,22187
acc_003,enterprise,67,23170
acc_003,enterprise,68,24264
acc_003,enterprise,69,19069
acc_003,enterprise,70,21835
acc_003,enterprise,71,21451
acc_003,enterprise,72,25141
acc_003,enterprise,73,23947
acc_003,enterprise,74,21699
acc_003,enterprise,75,21383
acc_003,enterprise,76,21376
acc_003,enterprise,77,24574
acc_003,enterprise,78,18885
acc_003,enterprise,79,25614
acc_003,enterprise,80,23504
acc_003,enterprise,81,25397
acc_003,enterprise,82,18947
acc_003,enterprise,83,16190
acc_003,enterprise,84,23496
acc_003,enterprise,85,19005
acc_003,enterprise,86,24769
acc_003,enterprise,87,20871
acc_003,enterprise,88,89927
acc_003,enterprise,89,19106
acc_004,pro,0,15510
acc_004,pro,1,18176
acc_004,pro,2,15469
acc_004,pro,3,14487
acc_004,pro,4,21951
acc_004,pro,5,16882
acc_004,pro,6,14953
acc_004,pro,7,19165
acc_004,pro,8,15161
acc_004,pro,9,22917
acc_004,pro,10,17375
acc_004,pro,11,16628
acc_004,pro,12,18830
acc_004,pro,13,17382
acc_004,pro,14,17450
acc_004,pro,15,19744
acc_004,pro,16,17955
acc_004,pro,17,15383
acc_004,pro,18,19634
acc_004,pro,19,18219
acc_004,pro,20,73876
acc_004,pro,21,18662
acc_004,pro,22,17416
acc_004,pro,23,16015
acc_004,pro,24,20351
acc_004,pro,25,19288
acc_004,pro,26,18501
acc_004,pro,27,19468
acc_004,pro,28,15225
acc_004,pro,29,19950
acc_004,pro,30,20032
acc_004,pro,31,16709
acc_004,pro,32,17274
acc_004,pro,33,72099
acc_004,pro,34,15520
acc_004,pro,35,17692
acc_004,pro,36,19467
acc_004,pro,37,19803
acc_004,pro,38,16117
acc_004,pro,39,21230
acc_004,pro,40,19885
acc_004,pro,41,19972
acc_004,pro,42,17895
acc_004,pro,43,20344
acc_004,pro,44,21153
acc_004,pro,45,17872
acc_004,pro,46,16300
acc_004,pro,47,16280
acc_004,pro,48,17732
acc_004,pro,49,22025
acc_004,pro,50,20424
acc_004,pro,51,17022
acc_004,pro,52,18173
acc_004,pro,53,17511
acc_004,pro,54,19386
acc_004,pro,55,17686
acc_004,pro,56,71409
acc_004,pro,57,18904
acc_004,pro,58,14767
acc_004,pro,59,17688
acc_004,pro,60,72061
acc_004,pro,61,18326
acc_004,pro,62,17050
acc_004,pro,63,22026
acc_004,pro,64,20873
acc_004,pro,65,16648
acc_004,pro,66,73403
acc_004,pro,67,16845
acc_004,pro,68,18299
acc_004,pro,69,75123
acc_004,pro,70,19148
acc_004,pro,71,20213
acc_004,pro,72,17981
acc_004,pro,73,17930
acc_004,pro,74,17402
acc_004,pro,75,18128
acc_004,pro,76,15669
acc_004,pro,77,22577
acc_004,pro,78,16442
acc_004,pro,79,19012
acc_004,pro,80,19086
acc_004,pro,81,19327
acc_004,pro,82,21834
acc_004,pro,83,18519
acc_004,pro,84,16377
acc_004,pro,85,22820
acc_004,pro,86,14184
acc_004,pro,87,15610
acc_004,pro,88,21567
acc_004,pro,89,18778
acc_005,free,0,3492
acc_005,free,1,3832
acc_005,free,2,3284
acc_005,free,3,3952
acc_005,free,4,3309
acc_005,free,5,3967
acc_005,free,6,3318
acc_005,free,7,3366
acc_005,free,8,3116
acc_005,free,9,3198
acc_005,free,10,3451
acc_005,free,11,3545
acc_005,free,12,3804
acc_005,free,13,3389
acc_005,free,14,13465
acc_005,free,15,3596
acc_005,free,16,3521
acc_005,free,17,3634
acc_005,free,18,3243
acc_005,free,19,3280
acc_005,free,20,3243
acc_005,free,21,14266
acc_005,free,22,3955
acc_005,free,23,3266
acc_005,free,24,3272
acc_005,free,25,3683
acc_005,free,26,3999
acc_005,free,27,4085
acc_005,free,28,3251
acc_005,free,29,13720
acc_005,free,30,3562
acc_005,free,31,3579
acc_005,free,32,3402
acc_005,free,33,3187
acc_005,free,34,3452
acc_005,free,35,4085
acc_005,free,36,3284
acc_005,free,37,3541
acc_005,free,38,4339
acc_005,free,39,3280
acc_005,free,40,3700
acc_005,free,41,4103
acc_005,free,42,3668
acc_005,free,43,3847
acc_005,free,44,3748
acc_005,free,45,3639
acc_005,free,46,3942
acc_005,free,47,3688
acc_005,free,48,3406
acc_005,free,49,3514
acc_005,free,50,3591
acc_005,free,51,3327
acc_005,free,52,3530
acc_005,free,53,3480
acc_005,free,54,3687
acc_005,free,55,4213
acc_005,free,56,13940
acc_005,free,57,4010
acc_005,free,58,3674
acc_005,free,59,3528
acc_005,free,60,3309
acc_005,free,61,3531
acc_005,free,62,3510
acc_005,free,63,3221
acc_005,free,64,3270
acc_005,free,65,3594
acc_005,free,66,4006
acc_005,free,67,3441
acc_005,free,68,2962
acc_005,free,69,2702
acc_005,free,70,3110
acc_005,free,71,3709
acc_005,free,72,13410
acc_005,free,73,3766
acc_005,free,74,3689
acc_005,free,75,3429
acc_005,free,76,13325
acc_005,free,77,3224
acc_005,free,78,3380
acc_005,free,79,3585
acc_005,free,80,3030
acc_005,free,81,3963
acc_005,free,82,3582
acc_005,free,83,3622
acc_005,free,84,3686
acc_005,free,85,3924
acc_005,free,86,3532
acc_005,free,87,3709
acc_005,free,88,3229
acc_005,free,89,4087
acc_006,enterprise,0,78546
acc_006,enterprise,1,276097
acc_006,enterprise,2,71263
acc_006,enterprise,3,63626
acc_006,enterprise,4,297250
acc_006,enterprise,5,77474
acc_006,enterprise,6,78900
acc_006,enterprise,7,78223
acc_006,enterprise,8,69789
acc_006,enterprise,9,72465
acc_006,enterprise,10,80657
acc_006,enterprise,11,67356
acc_006,enterprise,12,79501
acc_006,enterprise,13,72782
acc_006,enterprise,14,278495
acc_006,enterprise,15,64135
acc_006,enterprise,16,78752
acc_006,enterprise,17,76106
acc_006,enterprise,18,73640
acc_006,enterprise,19,78470
acc_006,enterprise,20,74804
acc_006,enterprise,21,70882
acc_006,enterprise,22,75858
acc_006,enterprise,23,81555
acc_006,enterprise,24,87670
acc_006,enterprise,25,80576
acc_006,enterprise,26,84279
acc_006,enterprise,27,68802
acc_006,enterprise,28,89204
acc_006,enterprise,29,69063
acc_006,enterprise,30,76241
acc_006,enterprise,31,74828
acc_006,enterprise,32,62665
acc_006,enterprise,33,80765
acc_006,enterprise,34,70855
acc_006,enterprise,35,66643
acc_006,enterprise,36,75600
acc_006,enterprise,37,285458
acc_006,enterprise,38,80280
acc_006,enterprise,39,70140
acc_006,enterprise,40,72328
acc_006,enterprise,41,83518
acc_006,enterprise,42,69169
acc_006,enterprise,43,72674
acc_006,enterprise,44,81620
acc_006,enterprise,45,291655
acc_006,enterprise,46,65716
acc_006,enterprise,47,62291
acc_006,enterprise,48,68591
acc_006,enterprise,49,76612
